# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	4092	4853	+						11470404	Ecym_1001	762		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	4092	4853	+	XM_003644030.1		XP_003644078.1	hypothetical protein		11470404	Ecym_1001	762	762	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	4092	4853	+	XP_003644078.1		XM_003644030.1	hypothetical protein		11470404	Ecym_1001	762	253	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	5334	6082	-						11471725	Ecym_1002	749		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	5334	6082	-	XM_003644031.1		XP_003644079.1	hypothetical protein		11471725	Ecym_1002	693	693	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	5334	6082	-	XP_003644079.1		XM_003644031.1	hypothetical protein		11471725	Ecym_1002	693	230	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	6314	7105	+						11470405	Ecym_1003	792		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	6314	7105	+	XM_003644032.1		XP_003644080.1	hypothetical protein		11470405	Ecym_1003	792	792	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	6314	7105	+	XP_003644080.1		XM_003644032.1	hypothetical protein		11470405	Ecym_1003	792	263	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	7473	7799	+						11470426	Ecym_1004	327		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	7473	7799	+	XM_003644033.1		XP_003644081.1	hypothetical protein		11470426	Ecym_1004	327	327	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	7473	7799	+	XP_003644081.1		XM_003644033.1	hypothetical protein		11470426	Ecym_1004	327	108	
gene	pseudogene	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	7821	8201	-						11469722	Ecym_1005	381		pseudo
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	9635	10729	-						11470371	Ecym_1006	1095		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	9635	10729	-	XM_003644034.1		XP_003644082.1	hypothetical protein		11470371	Ecym_1006	1095	1095	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	9635	10729	-	XP_003644082.1		XM_003644034.1	hypothetical protein		11470371	Ecym_1006	1095	364	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	11741	13129	+						11470373	Ecym_1007	1389		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	11741	13129	+	XM_003644035.1		XP_003644083.1	hypothetical protein		11470373	Ecym_1007	1389	1389	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	11741	13129	+	XP_003644083.1		XM_003644035.1	hypothetical protein		11470373	Ecym_1007	1389	462	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	13340	16696	-						11470375	Ecym_1008	3357		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	13340	16696	-	XM_003644036.1		XP_003644084.1	hypothetical protein		11470375	Ecym_1008	3357	3357	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	13340	16696	-	XP_003644084.1		XM_003644036.1	hypothetical protein		11470375	Ecym_1008	3357	1118	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	16963	17973	-						11471408	Ecym_1009	1011		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	16963	17973	-	XM_003644037.1		XP_003644085.1	hypothetical protein		11471408	Ecym_1009	1011	1011	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	16963	17973	-	XP_003644085.1		XM_003644037.1	hypothetical protein		11471408	Ecym_1009	1011	336	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	19126	19374	-						11470417	Ecym_1010	249		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	19126	19374	-	XM_003644038.1		XP_003644086.1	hypothetical protein		11470417	Ecym_1010	249	249	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	19126	19374	-	XP_003644086.1		XM_003644038.1	hypothetical protein		11470417	Ecym_1010	249	82	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	19924	22074	+						11472967	Ecym_1011	2151		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	19924	22074	+	XM_003644039.1		XP_003644087.1	hypothetical protein		11472967	Ecym_1011	2151	2151	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	19924	22074	+	XP_003644087.1		XM_003644039.1	hypothetical protein		11472967	Ecym_1011	2151	716	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	22226	22759	-						11472970	Ecym_1012	534		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	22226	22759	-	XM_003644040.1		XP_003644088.1	hypothetical protein		11472970	Ecym_1012	534	534	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	22226	22759	-	XP_003644088.1		XM_003644040.1	hypothetical protein		11472970	Ecym_1012	534	177	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	22905	24140	-						11469710	Ecym_1013	1236		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	22905	24140	-	XM_003644041.1		XP_003644089.1	hypothetical protein		11469710	Ecym_1013	1236	1236	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	22905	24140	-	XP_003644089.1		XM_003644041.1	hypothetical protein		11469710	Ecym_1013	1236	411	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	25582	26631	+						11469718	Ecym_1014	1050		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	25582	26631	+	XM_003644042.1		XP_003644090.1	hypothetical protein		11469718	Ecym_1014	1050	1050	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	25582	26631	+	XP_003644090.1		XM_003644042.1	hypothetical protein		11469718	Ecym_1014	1050	349	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	27323	29749	+						11472626	Ecym_1015	2427		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	27323	29749	+	XM_003644043.1		XP_003644091.1	hypothetical protein		11472626	Ecym_1015	2427	2427	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	27323	29749	+	XP_003644091.1		XM_003644043.1	hypothetical protein		11472626	Ecym_1015	2427	808	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	29751	30986	-						11471417	Ecym_1016	1236		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	29751	30986	-	XM_003644044.1		XP_003644092.1	hypothetical protein		11471417	Ecym_1016	1236	1236	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	29751	30986	-	XP_003644092.1		XM_003644044.1	hypothetical protein		11471417	Ecym_1016	1236	411	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	31467	32435	+						11470369	Ecym_1017	969		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	31467	32435	+	XM_003644045.1		XP_003644093.1	hypothetical protein		11470369	Ecym_1017	969	969	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	31467	32435	+	XP_003644093.1		XM_003644045.1	hypothetical protein		11470369	Ecym_1017	969	322	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	32606	34123	-						11470378	Ecym_1018	1518		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	32606	34123	-	XM_003644046.1		XP_003644094.1	hypothetical protein		11470378	Ecym_1018	1518	1518	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	32606	34123	-	XP_003644094.1		XM_003644046.1	hypothetical protein		11470378	Ecym_1018	1518	505	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	34539	36791	+						11472948	Ecym_1019	2253		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	34539	36791	+	XM_003644047.1		XP_003644095.1	hypothetical protein		11472948	Ecym_1019	2253	2253	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	34539	36791	+	XP_003644095.1		XM_003644047.1	hypothetical protein		11472948	Ecym_1019	2253	750	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	37205	38479	-						11472954	Ecym_1020	1275		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	37205	38479	-	XM_003644048.1		XP_003644096.1	hypothetical protein		11472954	Ecym_1020	1275	1275	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	37205	38479	-	XP_003644096.1		XM_003644048.1	hypothetical protein		11472954	Ecym_1020	1275	424	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	39573	40679	+						11471754	Ecym_1021	1107		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	39573	40679	+	XM_003644049.1		XP_003644097.1	hypothetical protein		11471754	Ecym_1021	1107	1107	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	39573	40679	+	XP_003644097.1		XM_003644049.1	hypothetical protein		11471754	Ecym_1021	1107	368	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	41992	42375	-						11470429	Ecym_1022	384		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	41992	42375	-	XM_003644050.1		XP_003644098.1	hypothetical protein		11470429	Ecym_1022	384	384	partial
