# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	610	1857	-						14536854	CORT_0A00100	1248		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	610	1857	-	XM_003865799.1		XP_003865847.1	hypothetical protein		14536854	CORT_0A00100	1248	1248	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	610	1857	-	XP_003865847.1		XM_003865799.1	hypothetical protein		14536854	CORT_0A00100	1248	415	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	2012	4213	-						14536804	CORT_0A00110	2202		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	2012	4213	-	XM_003865800.1		XP_003865848.1	hypothetical protein		14536804	CORT_0A00110	2202	2202	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	2012	4213	-	XP_003865848.1		XM_003865800.1	hypothetical protein		14536804	CORT_0A00110	2202	733	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	4732	6834	-						14536945	CORT_0A00120	2103		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	4732	6834	-	XM_003865801.1		XP_003865849.1	hypothetical protein		14536945	CORT_0A00120	2103	2103	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	4732	6834	-	XP_003865849.1		XM_003865801.1	hypothetical protein		14536945	CORT_0A00120	2103	700	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	7338	8555	-						14537263	CORT_0A00130	1218		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	7338	8555	-	XM_003865802.1		XP_003865850.1	Pot1 peroxisomal 3-oxoacyl CoA thiolase		14537263	CORT_0A00130	1218	1218	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	7338	8555	-	XP_003865850.1		XM_003865802.1	Pot1 peroxisomal 3-oxoacyl CoA thiolase		14537263	CORT_0A00130	1218	405	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	9058	9483	-						14536805	CORT_0A00140	426		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	9058	9483	-	XM_003865803.1		XP_003865851.1	hypothetical protein		14536805	CORT_0A00140	426	426	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	9058	9483	-	XP_003865851.1		XM_003865803.1	hypothetical protein		14536805	CORT_0A00140	426	141	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	9806	11479	+						14537029	CORT_0A00150	1674		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	9806	11479	+	XM_003865804.1		XP_003865852.1	Zcf38 transcription factor		14537029	CORT_0A00150	1674	1674	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	9806	11479	+	XP_003865852.1		XM_003865804.1	Zcf38 transcription factor		14537029	CORT_0A00150	1674	557	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	11476	12777	-						14537566	CORT_0A00160	1302		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	11476	12777	-	XM_003865805.1		XP_003865853.1	Cht1 chitinase		14537566	CORT_0A00160	1302	1302	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	11476	12777	-	XP_003865853.1		XM_003865805.1	Cht1 chitinase		14537566	CORT_0A00160	1302	433	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	13240	13740	-						14537236	CORT_0A00170	501		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	13240	13740	-	XM_003865806.1		XP_003865854.1	hypothetical protein		14537236	CORT_0A00170	501	501	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	13240	13740	-	XP_003865854.1		XM_003865806.1	hypothetical protein		14537236	CORT_0A00170	501	166	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	14233	14952	-						14536806	CORT_0A00180	720		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	14233	14952	-	XM_003865807.1		XP_003865855.1	Pga28 protein		14536806	CORT_0A00180	720	720	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	14233	14952	-	XP_003865855.1		XM_003865807.1	Pga28 protein		14536806	CORT_0A00180	720	239	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	15177	16862	-						14536857	CORT_0A00190	1686		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	15177	16862	-	XM_003865808.1		XP_003865856.1	Rep1 protein		14536857	CORT_0A00190	1686	1686	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	15177	16862	-	XP_003865856.1		XM_003865808.1	Rep1 protein		14536857	CORT_0A00190	1686	561	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	20237	21712	+						14537516	CORT_0A00210	1476		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	20237	21712	+	XM_003865809.1		XP_003865857.1	Mkc1 MAP kinase		14537516	CORT_0A00210	1476	1476	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	20237	21712	+	XP_003865857.1		XM_003865809.1	Mkc1 MAP kinase		14537516	CORT_0A00210	1476	491	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	21715	23943	-						14537267	CORT_0A00220	2229		partial
