# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	3572	5215	-						8050202	CD36_25010	1644		pseudo
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	6147	7151	+						8050023	CD36_25040	1005		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	6147	7151	+	XM_002421564.1		XP_002421609.1	retrotransposon protein, putative		8050023	CD36_25040	1005	1005	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	6147	7151	+	XP_002421609.1		XM_002421564.1	retrotransposon protein, putative		8050023	CD36_25040	1005	334	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	6979	9033	+						8050024	CD36_25050	2055		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	6979	9033	+	XM_002421565.1		XP_002421610.1	polyprotein of L1-like non-LTR retrotransposon Zorro 1, putative		8050024	CD36_25050	2055	2055	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	6979	9033	+	XP_002421610.1		XM_002421565.1	polyprotein of L1-like non-LTR retrotransposon Zorro 1, putative		8050024	CD36_25050	2055	684	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	12280	13344	+						8050025	CD36_25070	1065		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	12280	13344	+	XM_002421566.1		XP_002421611.1	conserved hypothetical protein		8050025	CD36_25070	1065	1065	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	12280	13344	+	XP_002421611.1		XM_002421566.1	conserved hypothetical protein		8050025	CD36_25070	1065	354	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	13415	15181	-						8050026	CD36_25080	1767		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	13415	15181	-	XM_002421567.1		XP_002421612.1	ATP-dependent helicase, putative		8050026	CD36_25080	1767	1767	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	13415	15181	-	XP_002421612.1		XM_002421567.1	ATP-dependent helicase, putative		8050026	CD36_25080	1767	588	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	14939	19762	+						8050027	CD36_25090	4824		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	14939	19762	+	XM_002421568.1		XP_002421613.1	formin, involved in spindle orientation, putative		8050027	CD36_25090	4824	4824	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	14939	19762	+	XP_002421613.1		XM_002421568.1	formin, involved in spindle orientation, putative		8050027	CD36_25090	4824	1607	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	19927	22869	+						8050028	CD36_25100	2943		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	19927	22869	+	XM_002421569.1		XP_002421614.1	C-1-tetrahydrofolate synthase, cytoplasmic, putative (EC 6.3.4.3)		8050028	CD36_25100	2943	2943	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	19927	22869	+	XP_002421614.1		XM_002421569.1	C-1-tetrahydrofolate synthase, cytoplasmic, putative (EC 6.3.4.3)		8050028	CD36_25100	2943	980	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	22876	23562	-						8050029	CD36_25110	687		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	22876	23562	-	XM_002421570.1		XP_002421615.1	conserved hypothetical protein		8050029	CD36_25110	687	687	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	22876	23562	-	XP_002421615.1		XM_002421570.1	conserved hypothetical protein		8050029	CD36_25110	687	228	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	23694	25961	-						8050030	CD36_25120	2268		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	23694	25961	-	XM_002421571.1		XP_002421616.1	enhancer of polycomb-like protein 1, putative		8050030	CD36_25120	2268	2268	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	23694	25961	-	XP_002421616.1		XM_002421571.1	enhancer of polycomb-like protein 1, putative		8050030	CD36_25120	2268	755	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	26920	29043	+						8050031	CD36_25130	2124		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	26920	29043	+	XM_002421572.1		XP_002421617.1	conserved hypothetical protein		8050031	CD36_25130	2124	2124	partial
